-1,STE,45.419112,-75.677979,45.419358,-75.679391,113.05,,,,,,,
-2,0,Floor 0 (Basement),87.3636,126.4472,28.1403,4.9808,,,,,,,
0,0.4162,2.0007,L,1,19.5117,17,5,,,,,,
1,0.4162,21.5124,,0,19.5117,2,17.3366,16,33.69351639,,,,
2,17.7528,21.5124,S,1,17.3366,3,4.882257322,21,5,,,,
3,21.5518,24.579,X,2,4.882257322,4,6.307030909,5044,3.3,,,,
4,22.1351,30.859,X,3,6.307030909,5,6,5070,2.6,,,,
5,22.1351,36.859,X,4,6,6,6.1026,5069,2.5,,,,
6,22.1351,42.9616,X,5,6.1026,7,6.0758,5068,3,,,,
7,22.1351,49.0374,X,6,6.0758,8,9.1729,5045,2.5,,,,
8,22.1351,58.2103,BS,7,9.1729,9,7.401303172,26,20,,,,
9,20.6678,65.465,S,8,7.401303172,10,6.274159406,35,5.13337334,,,,
10,21.8618,71.6242,,9,6.274159406,11,16.30978858,12,20.32450616,15,21.20574318,,
11,36.2175,63.8832,X,10,16.30978858,,,,,,,,
12,21.0281,91.9316,L,11,31.8971882,13,20.3256,,,,,,
13,0.7025,91.9316,,12,20.3256,14,19.0001,15,18.9047,,,,
14,0.7025,110.9317,L,13,19.0001,30,5,,,,,,
15,0.7025,73.0269,S,10,21.20574318,13,18.9047,16,17.8222,,,,
16,0.7025,55.2047,BS,15,17.8222,1,33.69351639,37,4.08981013,,,,
-2,1,Floor 1 (Ground level),85.5447,123.8147,27.1922,2.9249,,,,,,,
17,0.3705,1.5788,L,18,11.8193,0,5,,,,,,
18,0.3705,13.3981,X,17,11.8193,19,11.36262179,34,13.40918549,5000,5.7,,
19,11.6655,12.1603,,18,11.36262179,20,9.4128,,,,,,
20,11.6655,21.5731,,19,9.4128,21,10.3193,,,,,,
21,21.9848,21.5731,S,20,10.3193,22,32.91303526,2,5,,,,
22,22.7975,54.4761,,21,32.91303526,23,10.27573718,25,22.6789,,,,
23,13.0538,57.7397,,22,10.27573718,24,12.27097222,,,,,,
24,7.6999,68.7811,,23,12.27097222,25,17.26440636,38,9.757813941,,,,
25,22.7975,77.155,,22,22.6789,24,17.26440636,26,12.91624577,27,14.94794044,,
26,35.5523,75.1192,SX,25,12.91624577,8,20,5011,3.2,,,,
27,21.8598,92.0735,LX,25,14.94794044,40,15.58,,,,,,
28,-0.4573,86.4938,X,29,11.87820601,39,11.24099586,5009,6.5,,,,
29,0.4249,98.3392,X,28,11.87820601,30,11.9326,5010,6,,,,
30,0.4249,110.2718,LX,29,11.9326,14,5,,,,,,
31,0.9727,54.5637,B,38,10.12657268,32,9.16279884,5005,9.2,,,,
32,-0.943,45.6034,SX,31,9.16279884,33,7.061792912,5005,7.9,,,,
33,0.1962,38.6341,X,32,7.061792912,34,11.86570347,5004,7.21,,,,
34,-0.416,26.7842,X,18,13.40918549,33,11.86570347,5003,6.5,,,,
35,16.8306,62.0548,S,36,7.397366846,9,5.13337334,,,,,,
36,11.1901,57.2688,,35,7.397366846,37,6.600091136,,,,,,
37,4.7002,56.0678,S,36,6.600091136,16,4.08981013,,,,,,
38,-1.0608,64.484,SX,24,9.757813941,31,10.12657268,39,10.81460755,5007,6.44,,
39,-0.1222,75.2578,X,28,11.24099586,38,10.81460755,5008,7,,,,
-2,0,Floor 2,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,0,Floor 3,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,0,Floor 4,107.5491,162.8721,45.5656,103.7386,,,,,,,
-2,5,Floor 5,107.5491,162.8721,45.5656,103.7386,,,,,,,
-1,CBY,45.41987,-75.679394,45.419636,-75.679915,48.03,,,,,,,
-2,0,Floor 0,104.0831,166.8747,37.9774,98.2131,,,,,,,
61,-0.84,-58,X,118,11.77,5039,1.5,,,,,,
62,-0.84,-40.55,,118,5.68,63,22.17,64,36.51315516,,,,
63,21.33,-40.55,,62,22.17,,,,,,,,
64,-0.36,-4.04,,65,9.506361028,62,36.51315516,,,,,,
65,8.94,-6.01,,64,9.506361028,76,18.09,66,25.13506117,119,10.77235814,,
66,34.06,-6.88,,65,25.13506117,67,7.96,68,24.08,,,,
67,34.06,-14.84,,66,7.96,,,,,,,,
68,34.06,17.2,,66,24.08,69,4.836238208,72,17.64272655,,,,
69,38.8,18.16,,68,6.190072697,70,14.53079489,,,,,,
70,39.36,32.68,,69,14.53079489,71,22.80420356,,,,,,
71,55.5,48.79,X,70,22.80420356,81,1,,,,,,
72,16.43,17.87,,68,17.64272655,74,13.02,75,6.420001246,,,,
73,16.43,47.72,S,74,16.83,59,5,,,,,,
74,16.43,30.89,B,72,13.02,73,16.83,,,,,,
75,10.01,17.87,,72,6.420001246,76,5.88410537,,,,,,
76,8.94,12.08,L,75,5.88410537,65,18.09,77,10.57592076,78,11.48568674,48,5
77,2.2,3.93,S,76,10.57592076,78,12.558523,119,4.503876108,,,,
78,-1.93,15.79,L,76,11.48568674,77,12.558523,79,9.019678487,51,5,,
79,-7.48,22.9,,78,9.019678487,80,8.212435692,,,,,,
80,-3.44,30.05,S,79,8.212435692,54,5,,,,,,
118,-0.84,-46.23,S,61,11.77,62,5.68,,,,,,
119,0,0,L,64,4.05600789,77,4.503876108,46,5,,,,
-2,1,Floor 1,107.5491,162.8721,45.5656,103.7386,,,,,,,
40,-44.31,-2.52,,41,10.53590053,27,15.58,,,,,,
41,-36.87,-9.98,S,40,10.53590053,42,16.39,,,,,,
42,-20.48,-9.98,,41,16.39,43,10.12,45,14.09,,,,
43,-10.36,-9.98,,42,10.12,44,14.19,,,,,,
44,-10.36,4.21,,43,14.19,45,10.12049406,46,11.98,,,,
45,-20.48,4.11,,42,14.09,44,10.12049406,,,,,,
46,1.62,4.21,LS,44,11.98,47,7.1087833,50,9.541724163,119,5,,
47,8.64,5.33,X,46,7.1087833,48,5.738884909,50,11.945045,5063,5,,
48,9.46,11.01,BL,47,5.738884909,49,19.03220954,50,9.774891304,76,5,,
49,9.17,30.04,,48,19.03220954,58,7.02,,,,,,
50,0.04,13.62,S,46,9.541724163,47,11.945045,48,9.774891304,51,5.416733333,,
51,-3.75,17.49,L,50,5.416733333,52,4.214380144,60,5.695937149,78,5,,
52,-4.36,21.66,B,51,4.214380144,53,8.492661538,,,,,,
53,-4.98,30.13,,52,8.492661538,54,4,55,11.64,,,,
54,-0.98,30.13,S,53,4,80,5,,,,,,
55,-16.62,30.13,,53,11.64,56,12.38,,,,,,
56,-16.62,17.75,,55,12.38,57,3.49,60,7.18,,,,
